time,"$T_{air,1}$","$T_{air,2}$",$T_{wall}$,$T_{out}$,u_0
51180.0,330.0266920865236,291.7990697277353,310.9957161464932,286.82787585594554,0.0
51240.0,329.8143316268263,291.8178751675507,310.96670953589677,286.8076808061812,0.0
51300.0,329.5779084337611,291.85926400257233,310.8031385775833,286.81908544301683,0.0
51360.0,329.46392712056735,291.82286228545183,310.696985871396,286.83964244907986,0.0
51420.0,329.522760576269,291.69963734430695,310.7644226452042,286.8795270984066,0.0
51480.0,329.4420184204519,291.635310813414,310.74382265272425,287.0063141979036,0.0
51540.0,329.5425453809654,291.5774784578832,310.8031402315106,286.96314171111413,0.0
51600.0,329.6442781456682,291.6661648573808,310.86311381926447,286.9110792719157,0.0
51660.0,329.65400974309,291.59104296272744,310.9720455076019,286.73729297423114,0.0
51720.0,329.60948644873616,291.5365540729897,310.9363835070413,286.89401639248723,0.0
51780.0,329.57899041271327,291.4545737712938,311.0319998204294,286.9065712761139,0.0
51840.0,329.46798831709094,291.4503904189385,310.9926340898447,286.9281930257857,0.0
51900.0,329.4421461533161,291.461171553088,310.9180631237981,286.9891264370683,0.0
51960.0,329.4455809366401,291.39256504489856,310.8967626452299,286.9252982175195,0.0
52020.0,329.2598779220733,291.45582908234485,310.9167863608525,286.9234073519805,0.0
52080.0,329.0529795356968,291.6057106294591,310.84149644813766,286.8588416896979,0.0
52140.0,328.9479330899439,291.5230210401376,310.8667385006121,286.7821343438072,0.0
52200.0,328.7957824648138,291.5915902137714,310.90283855333496,286.7719741999774,0.0
52260.0,328.62574559956175,291.5348255614602,310.8940832079803,286.73978004638667,0.0
52320.0,328.6102651173544,291.49630576751713,310.8667579736655,286.74758310725474,0.0
52380.0,328.43031117145784,291.4393581944127,310.87717972768326,286.8083955911604,0.0
52440.0,328.41395333476413,291.53799114648155,310.97200218513177,286.7953176711128,0.0
52500.0,328.3035831723122,291.553583247724,310.99778688974675,286.862251275717,0.0
52560.0,328.2797345367362,291.6410856402673,310.9755218014184,286.85089877822503,0.0
52620.0,328.178185968411,291.6649668928146,310.9754878553284,286.8141878131985,0.0
52680.0,328.0356870994879,291.73474814531954,310.90744034973324,286.70010638517937,0.0
52740.0,327.9619199781894,291.83439275486523,310.94636403143284,286.66874418150843,0.0
52800.0,327.82934443011993,291.7125678618865,311.08405026182555,286.5889324199579,0.0
52860.0,327.74634779137824,291.75668095162644,311.12189055551545,286.6464124548869,0.0
52920.0,327.65144474143784,291.858241388744,311.18797224255457,286.6332390581724,0.0
52980.0,327.5968786631053,291.9671214208368,311.1880270695661,286.58734253063164,0.0
53040.0,327.45855787918885,291.8711475573478,311.0924565946372,286.43962353257285,0.0
53100.0,327.36725325634137,291.8832681077914,311.1440132292561,286.459370207623,0.0
53160.0,327.4008688617146,291.957413480213,311.2733878140244,286.51384417322424,0.0
53220.0,327.33166789187317,291.9006812501117,311.30998348738865,286.5138109697808,0.0
53280.0,327.3184435562306,291.9650789261177,311.3381674394392,286.5157941228999,0.0
53340.0,327.32358130859603,292.0419247491248,311.33043850398946,286.3367408466769,0.0
53400.0,327.3222924161088,291.9941756422274,311.40201139091414,286.36216320055047,0.0
53460.0,327.26932663871276,292.0780490656412,311.3781608260042,286.407553732951,0.0
53520.0,327.27811701777904,292.1797174008228,311.34103612118383,286.5535469881154,0.0
53580.0,327.17906146961934,292.3159487931987,311.36382720259365,286.4150157111324,0.0
53640.0,327.181334952233,292.3113837226033,311.2903777511888,286.38076937578006,0.0
53700.0,327.11513507249555,292.39567662952044,311.30327872203634,286.43352748085107,0.0
53760.0,326.9867599051951,292.30401043658856,311.2766368817642,286.5813047586772,0.0
53820.0,326.909870860302,292.2325931913809,311.30163442114446,286.6120516336814,0.0
53880.0,326.83768326537074,292.33370861176286,311.3288829021546,286.6345388726504,0.0
53940.0,326.6437417734972,292.2408828549572,311.342553868107,286.6391742547029,0.0
54000.0,326.59933666906727,292.35387405708286,311.2058681304281,286.63687919071236,0.0
54060.0,326.58055273530533,292.4307671771988,311.2092537128406,286.48237502814465,0.0
54120.0,326.40586963969264,292.40778084000175,311.18363300622894,286.42649849905035,0.0
54180.0,326.45278342529406,292.3973146799204,311.0963194009305,286.4127632918019,0.0
54240.0,326.5146998108383,292.5126074899081,311.215650412182,286.3751987023899,0.0
54300.0,326.4123348207966,292.53393061552555,311.17724692173203,286.46761290298923,0.0
54360.0,326.28229089977214,292.64156802213233,311.2436326693365,286.401138617869,0.0
54420.0,326.2442524426045,292.69154772939146,311.1427482086493,286.3561584865647,0.0
54480.0,326.23915982776356,292.71670403781303,311.1182990447653,286.37438943264067,0.0
54540.0,326.1721074266392,292.7761161098342,311.1737550703265,286.40368417955705,0.0
54600.0,326.19373452061205,292.7353935643617,311.24990808150545,286.46485950223797,0.0
54660.0,326.07612589622056,292.82962767025543,311.26333376998207,286.4823803083689,0.0
54720.0,326.0583730884358,292.8313290124579,311.14301802354504,286.49284011894434,0.0
54780.0,325.9912399264239,292.8292765126396,311.1614180025389,286.5573805044066,0.0
54840.0,325.7848695586621,292.8446197239876,311.14340088621657,286.64154676963545,0.0
54900.0,325.6888526904535,292.7702303417928,311.1085627915444,286.651943052345,0.0
54960.0,325.6742789829985,292.8583758006934,311.16531809963965,286.7271390466369,0.0
55020.0,325.60416184521574,292.8337524665147,311.3180155147962,286.6403520831174,0.0
55080.0,325.5578126160661,292.7719839814648,311.3301600408971,286.6068575667171,0.0
55140.0,325.4469298354195,292.64845503995673,311.27592016083133,286.5610997520351,0.0
55200.0,325.3648438872061,292.5333297190952,311.408568804524,286.6013230293029,0.0
55260.0,325.17552000857376,292.5160454109363,311.48837105694986,286.68836645724826,0.0
55320.0,324.9878004037104,292.4613345776739,311.4634761413999,286.8280830981855,0.0
55380.0,324.93926511353567,292.5058503875412,311.5325577225824,286.8230678734456,0.0
